text,sentiment,sentiment_label
машине,positive,1.0
внутренняя оболочка,positive,1.0
машину,positive,1.0
авто,neutral,0.0
двигатель,neutral,0.0
автомобиль,positive,1.0
Nissan Note,neutral,0.0
комплектация,neutral,0.0
машина,positive,1.0
Автомобиль Ford Focus 3,neutral,0.0
машина,neutral,0.0
фокусом,negative,-1.0
рено дастер,neutral,0.0
автомобиль,negative,-1.0
авто,negative,-1.0
Машина,positive,1.0
аппарат,positive,1.0
Машина,positive,1.0
вариант,positive,1.0
выбор,positive,1.0
Автомобиль,neutral,0.0
Российский автопром,negative,-1.0
автомобили,neutral,0.0
Caddy,neutral,0.0
Машина,neutral,0.0
комплектация,neutral,0.0
автомобиля,positive,1.0
машина,positive,1.0
автомобиль ВАЗ 2109,neutral,0.0
«девятка»,neutral,0.0
модель,positive,1.0
рабочая лошадка,positive,1.0
машина,positive,1.0
Автомобиль,neutral,0.0
машина,positive,1.0
автомобильл,positive,1.0
машина,neutral,0.0
Машина ц класса,neutral,0.0
машин,neutral,0.0
машина,neutral,0.0
седан,neutral,0.0
Авто,neutral,0.0
машина,neutral,0.0
впечатление,positive,1.0
автомобиль,positive,1.0
Машина,positive,1.0
машины фирмы тойота,neutral,0.0
рабочая лошадка,positive,1.0
машиной,neutral,0.0
Машина,positive,1.0
автомобиль,positive,1.0
современные авто,positive,1.0
BMW,neutral,0.0
e39,positive,1.0
марка,positive,1.0
машина,positive,1.0
Машина,positive,1.0
автомобиле,neutral,0.0
BMW,positive,1.0
автомобиле,positive,1.0
Пассат в3 универсал,neutral,0.0
машине,neutral,0.0
продать было бы невозможно,negative,-1.0
автомобиль,neutral,0.0
машину,positive,1.0
автомобиле,neutral,0.0
ВАЗ 21074,neutral,0.0
машина,neutral,0.0
аскетичности,negative,-1.0
машинка,positive,1.0
автомобиль,positive,1.0
машинку,neutral,0.0
майбах,neutral,0.0
жигуль,positive,1.0
машиной,negative,-1.0
машиной,positive,1.0
альтернативы,neutral,0.0
автомобиль,positive,1.0
Ford Focus 2 хэтчбек,neutral,0.0
автомобилем,positive,1.0
автомобиль,positive,1.0
автомобиле Дэу-Матис,neutral,0.0
иномарку,negative,-1.0
машине,neutral,0.0
машина,positive,1.0
машина,positive,1.0
Peugeot 308,positive,1.0
машина,positive,1.0
отечественной Лада 2114,negative,-1.0
машина,negative,-1.0
внедорожник,neutral,0.0
автомобиль,neutral,0.0
вариант,positive,1.0
вариант,positive,1.0
Авто,neutral,0.0
авто,positive,1.0
аппарат,positive,1.0
машину,negative,-1.0
машина,negative,-1.0
Российская классика,positive,1.0
машина,positive,1.0
ВАЗ,positive,1.0
автомобиль,negative,-1.0
машину,neutral,0.0
ВАЗ,positive,1.0
машина,negative,-1.0
машина такого класса,positive,1.0
солярис,neutral,0.0
сборка русская,negative,-1.0
автомобиль,neutral,0.0
авто,neutral,0.0
марке Chery,neutral,0.0
Автомобиль Chery QQ6 1.1,neutral,0.0
Автомобиль Chery QQ6 1.1,neutral,0.0
Автомобиль Chery QQ6 1.1,negative,-1.0
машиной,positive,1.0
машину,positive,1.0
машина,positive,1.0
Машина,positive,1.0
машине,positive,1.0
мазду 3,neutral,0.0
автомобиль,neutral,0.0
автомобиле Nissan Almera,neutral,0.0
автомобиле,neutral,0.0
Ниссан,neutral,0.0
автомобиль,negative,-1.0
автомобиль,positive,1.0
Хендай Солярис,negative,-1.0
Кио Рио,neutral,0.0
автомобиль,positive,1.0
Солярис,negative,-1.0
Киа Рио,negative,-1.0
машины,neutral,0.0
Mercedes C300 W204,neutral,0.0
автомобиль,neutral,0.0
автомобиля,positive,1.0
3 серии БМВ,neutral,0.0
Ауди А4,neutral,0.0
машины,neutral,0.0
автомобиле,neutral,0.0
универсалу,neutral,0.0
автомобиль,neutral,0.0
вариант,positive,1.0
Машина,positive,1.0
ВАЗа,neutral,0.0
Opel Insigna 1.8,positive,1.0
хэтчбэк,positive,1.0
"ВАЗ 217030 ""PRIORA"" седан",neutral,0.0
"комплектация ""люкс""",neutral,0.0
машинка,positive,1.0
"""калины""",negative,-1.0
"""приоры""",negative,-1.0
автомобиля,positive,1.0
машина,neutral,0.0
Ваз 2112,neutral,0.0
машина,neutral,0.0
ВАЗ,negative,-1.0
автомобиль,positive,1.0
Автомобиль,positive,1.0
автомобиль,positive,1.0
автомобиль,positive,1.0
машины,neutral,0.0
Infiniti fx35,neutral,0.0
Polo,neutral,0.0
авто,neutral,0.0
в идеальном состоянии,positive,1.0
Машина,positive,1.0
автомобиль,neutral,0.0
машиной,neutral,0.0
машина,neutral,0.0
авто люкс-класса,positive,1.0
Geely Emgrand,positive,1.0
машинка,positive,1.0
авто,neutral,0.0
машинка,positive,1.0
автомобиль,positive,1.0
Автомобиль,neutral,0.0
авто,negative,-1.0
авто,positive,1.0
экземпляр,negative,-1.0
авто данной модели,negative,-1.0
авто,positive,1.0
авто,positive,1.0
авто,negative,-1.0
Продать данный авто,negative,-1.0
авто,neutral,0.0
Авто,neutral,0.0
Авто,positive,1.0
Авто,positive,1.0
машинка,positive,1.0
автомобиль,positive,1.0
машина,positive,1.0
микроавтобус,positive,1.0
автомобиль,positive,1.0
авто,positive,1.0
автомобиль,neutral,0.0
автомобиль,positive,1.0
автомобилем,positive,1.0
маркой,positive,1.0
вариант,positive,1.0
Ауди 80 Б2,neutral,0.0
автомобиле,neutral,0.0
авто,positive,1.0
девятки,neutral,0.0
Фольксваген Пассат Б2,neutral,0.0
Гольф 2,neutral,0.0
машинка,positive,1.0
автомобиль,positive,1.0
Машина,neutral,0.0
ладой двенадцатой модели,negative,-1.0
машину,negative,-1.0
машину,positive,1.0
Sens,positive,1.0
машина,positive,1.0
Машина,positive,1.0
машина,positive,1.0
машинку,neutral,0.0
машина,positive,1.0
машины,positive,1.0
автомобиль,positive,1.0
автомобиля,positive,1.0
автомобиль,positive,1.0
Dodge Caravan,neutral,0.0
машина,positive,1.0
машина,positive,1.0
автомобиль,positive,1.0
автомобилями,neutral,0.0
машина,negative,-1.0
шевроле,positive,1.0
Машина,negative,-1.0
машин,neutral,0.0
авто,neutral,0.0
модификация,neutral,0.0
версия GT,neutral,0.0
Машина,positive,1.0
машинка,negative,-1.0
машиной,positive,1.0
